,X_Ray_Class,X_Ray_Intensity,NOAA_Number_flare,Date_x,magnetic_classification,NOAA,zurich_class,penumbra_class,compactness_class,No_of_spots,longitudanal_extent,Area,Status
93,C,46.0,10755.0,2005-04-17 16:10:00, A  ,10755,H,A,X,1.0,2.0,30.0,Associated
94,C,80.0,10758.0,2005-05-02 15:11:00, A  ,10758,H,A,X,1.0,2.0,100.0,Associated
95,C,35.0,10776.0,2005-06-05 06:25:00, A  ,10776,H,S,X,1.0,3.0,90.0,Associated
96,C,13.0,10806.0,2005-08-29 14:05:00, BG ,10806,D,A,I,6.0,4.0,70.0,Associated
97,C,65.0,10806.0,2005-08-29 14:05:00, BG ,10806,D,A,I,6.0,4.0,70.0,Associated
98,C,25.0,10822.0,2005-11-12 12:30:00, A  ,10822,H,S,X,1.0,2.0,120.0,Associated
99,C,95.0,10822.0,2005-11-12 12:30:00, A  ,10822,H,S,X,1.0,2.0,120.0,Associated
100,C,22.0,10930.0,2006-12-05 01:25:00, A  ,10930,A,X,X,1.0,2.0,120.0,Associated
101,C,38.0,10930.0,2006-12-05 01:25:00, A  ,10930,A,X,X,1.0,2.0,120.0,Associated
102,C,42.0,10930.0,2006-12-05 01:25:00, A  ,10930,A,X,X,1.0,2.0,120.0,Associated
104,C,15.0,10930.0,2006-12-05 01:25:00, A  ,10930,A,X,X,1.0,2.0,120.0,Associated
106,C,22.0,11041.0,2010-01-20 13:23:00, B  ,11041,C,S,O,2.0,10.0,40.0,Associated
107,C,10.0,11041.0,2010-01-20 13:23:00, B  ,11041,C,S,O,2.0,10.0,40.0,Associated
109,C,34.0,11045.0,2010-02-06 07:58:00, B  ,11045,D,R,I,6.0,7.0,80.0,Associated
110,C,23.0,11069.0,2010-05-05 04:06:00, G  ,11069,D,A,I,5.0,10.0,70.0,Associated
111,C,88.0,11069.0,2010-05-05 04:06:00, G  ,11069,D,A,I,5.0,10.0,70.0,Associated
112,C,61.0,11081.0,2010-06-12 03:50:00, BG ,11081,D,A,I,14.0,10.0,140.0,Associated
113,C,34.0,11087.0,2010-07-09 13:59:00, A  ,11087,A,X,X,1.0,1.0,20.0,Associated
114,C,13.0,11108.0,2010-09-16 19:02:00, B  ,11108,C,K,O,5.0,9.0,290.0,Associated
0,,,,2000-01-06 07:58:00, B  ,8818,B,X,O,2.0,3.0,10.0,Unassociated
1,,,,2000-01-07 00:20:00, B  ,8817,B,X,O,3.0,3.0,20.0,Unassociated
2,,,,2000-01-08 15:49:00, B  ,8814,C,S,O,7.0,6.0,40.0,Unassociated
3,,,,2000-01-09 17:06:00, B  ,8822,C,S,O,2.0,7.0,10.0,Unassociated
4,,,,2000-01-13 00:25:00, B  ,8820,B,X,O,2.0,3.0,10.0,Unassociated
5,,,,2000-01-16 00:05:00, B  ,8826,B,X,O,2.0,1.0,30.0,Unassociated
6,,,,2000-01-16 00:05:00, B  ,8835,B,X,O,2.0,3.0,10.0,Unassociated
7,,,,2000-01-17 01:40:00, B  ,8834,C,R,O,2.0,3.0,30.0,Unassociated
8,,,,2000-01-17 01:40:00, B  ,8825,C,R,O,6.0,3.0,30.0,Unassociated
9,,,,2000-01-17 17:38:00, B  ,8832,B,X,O,2.0,3.0,20.0,Unassociated
10,,,,2000-01-18 16:28:00, B  ,8836,B,X,O,7.0,4.0,10.0,Unassociated
