,index,Wilson Magnetic Classification,NOAA_Number_spots,Zurich Class,penumbra Class,Compactness Class,Number of Spots,Longitudanal extent,Area,Date_x,X_Ray_Class,X_Ray_Intensity,Integrated_Flux,NOAA_Number_flare,Date_y,Status
113,30090, A  ,9053,H,R,X,1.0,1.0,10.0,2000-06-20 10:15:00,,,,,,Unassociated
114,30085, A  ,9052,H,S,X,1.0,2.0,120.0,2000-06-23 15:38:00,,,,,,Unassociated
115,30047, A  ,9050,H,S,X,1.0,2.0,60.0,2000-06-24 05:45:00,,,,,,Unassociated
116,30594, B  ,9060,B,X,O,2.0,3.0,10.0,2000-06-27 13:05:00,,,,,,Unassociated
117,30406, A  ,9055,H,R,X,1.0,1.0,10.0,2000-07-03 01:10:00,,,,,,Unassociated
118,30452, A  ,9056,H,S,X,1.0,2.0,110.0,2000-07-03 01:10:00,,,,,,Unassociated
119,30501, A  ,9057,H,S,X,1.0,2.0,120.0,2000-07-04 13:50:00,,,,,,Unassociated
120,30624, A  ,9063,A,X,X,2.0,1.0,10.0,2000-07-05 14:49:00,,,,,,Unassociated
121,30589, A  ,9061,H,S,X,1.0,1.0,20.0,2000-07-06 05:03:00,,,,,,Unassociated
122,30738, B  ,9065,B,X,O,2.0,1.0,10.0,2000-07-07 01:07:00,,,,,,Unassociated
123,32368, A  ,9075,H,S,X,1.0,1.0,30.0,2000-07-07 19:20:00,,,,,,Unassociated
124,32246, B  ,9072,D,S,O,3.0,5.0,40.0,2000-07-11 12:02:00,,,,,,Unassociated
125,33987, B  ,9083,B,X,O,2.0,3.0,10.0,2000-07-11 15:05:00,,,,,,Unassociated
126,32391, B  ,9076,B,X,O,2.0,4.0,10.0,2000-07-12 17:58:00,,,,,,Unassociated
127,32365, B  ,9074,B,X,O,3.0,3.0,10.0,2000-07-13 12:36:00,,,,,,Unassociated
128,33816, B  ,9078,C,A,O,5.0,7.0,20.0,2000-07-13 12:36:00,,,,,,Unassociated
129,37617, B  ,9093,C,S,O,2.0,3.0,10.0,2000-07-18 12:00:00,,,,,,Unassociated
130,34258, BG ,9089,E,K,C,30.0,15.0,470.0,2000-07-19 18:30:00,,,,,,Unassociated
131,37613, A  ,9092,A,X,X,1.0,1.0,20.0,2000-07-20 13:30:00,,,,,,Unassociated
132,38468, B  ,9098,B,X,O,4.0,3.0,10.0,2000-07-20 13:30:00,,,,,,Unassociated
133,33861, A  ,9079,H,S,X,1.0,2.0,30.0,2000-07-21 06:11:00,,,,,,Unassociated
134,33893, B  ,9080,D,S,O,2.0,2.0,100.0,2000-07-21 12:30:00,,,,,,Unassociated
135,33961, A  ,9084,H,S,X,1.0,1.0,30.0,2000-07-22 01:13:00,,,,,,Unassociated
136,33938, A  ,9081,H,S,X,1.0,1.0,20.0,2000-07-23 11:35:00,,,,,,Unassociated
137,38598, A  ,9102,A,X,X,3.0,1.0,10.0,2000-07-27 16:25:00,,,,,,Unassociated
138,37605, A  ,9094,A,X,X,1.0,1.0,10.0,2000-07-28 16:00:00,,,,,,Unassociated
139,37711, A  ,9096,A,X,X,1.0,1.0,10.0,2000-07-28 16:00:00,,,,,,Unassociated
140,38589, B  ,9101,B,X,O,3.0,3.0,10.0,2000-07-29 01:29:00,,,,,,Unassociated
141,38783, B  ,9106,C,R,O,5.0,5.0,30.0,2000-07-30 05:08:00,,,,,,Unassociated
142,38466, A  ,9099,H,S,X,1.0,2.0,60.0,2000-08-01 01:20:00,,,,,,Unassociated
143,38883, B  ,9109,D,S,O,2.0,2.0,20.0,2000-08-02 11:30:00,,,,,,Unassociated
144,39335, A  ,9112,A,X,X,1.0,1.0,10.0,2000-08-02 15:00:00,,,,,,Unassociated
145,38869, A  ,9108,A,X,X,1.0,1.0,10.0,2000-08-04 15:15:00,,,,,,Unassociated
146,38982, B  ,9113,B,X,O,12.0,10.0,50.0,2000-08-05 14:20:00,,,,,,Unassociated
147,38677, A  ,9104,H,S,X,1.0,1.0,50.0,2000-08-07 18:36:00,,,,,,Unassociated
148,39430, A  ,9117,H,S,X,1.0,1.0,10.0,2000-08-07 18:36:00,,,,,,Unassociated
149,39398, B  ,9116,B,X,O,2.0,3.0,10.0,2000-08-08 16:35:00,,,,,,Unassociated
150,39441, B  ,9120,C,S,O,3.0,3.0,60.0,2000-08-10 16:55:00,,,,,,Unassociated
151,39422, A  ,9119,A,X,X,1.0,1.0,10.0,2000-08-12 01:15:00,,,,,,Unassociated
152,39469, B  ,9121,B,X,O,1.0,10.0,10.0,2000-08-14 06:00:00,,,,,,Unassociated
153,41539, B  ,9130,B,X,O,7.0,5.0,20.0,2000-08-14 15:06:00,,,,,,Unassociated
154,39381, A  ,9115,H,S,X,1.0,1.0,30.0,2000-08-16 06:57:00,,,,,,Unassociated
155,41263, B  ,9133,B,X,O,5.0,4.0,20.0,2000-08-16 14:00:00,,,,,,Unassociated
156,41751, B  ,9132,B,X,O,2.0,10.0,10.0,2000-08-17 06:40:00,,,,,,Unassociated
157,39573, B  ,9123,B,X,O,4.0,4.0,10.0,2000-08-18 03:30:00,,,,,,Unassociated
158,41323, B  ,9128,C,A,O,13.0,6.0,30.0,2000-08-19 14:00:00,,,,,,Unassociated
159,41790, B  ,9135,B,X,O,2.0,7.0,10.0,2000-08-21 07:12:00,,,,,,Unassociated
160,41766, B  ,9134,B,X,O,4.0,2.0,10.0,2000-08-21 07:12:00,,,,,,Unassociated
161,41793, B  ,9137,C,R,O,2.0,2.0,10.0,2000-08-23 07:20:00,,,,,,Unassociated
